priority,State,table,exact_url,expected_format,recommended_local_filename,scientific_role,required_for_D09C,component_EVALID_role,size_status,download_action,approval_rule,raw_preservation
A_MEMBERSHIP_FIRST,Oregon,POP_EVAL,https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_EVAL.zip,ZIP containing state-level FIADB CSV table,OR_POP_EVAL.zip,Component evaluation records; contains EVALID and inventory-span metadata,YES,PRIMARY,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,Oregon,POP_ESTN_UNIT,https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_ESTN_UNIT.zip,ZIP containing state-level FIADB CSV table,OR_POP_ESTN_UNIT.zip,Estimation-unit design metadata,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,Oregon,POP_STRATUM,https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_STRATUM.zip,ZIP containing state-level FIADB CSV table,OR_POP_STRATUM.zip,Stratum design metadata,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,Oregon,POP_PLOT_STRATUM_ASSGN,https://apps.fs.usda.gov/fia/datamart/CSV/OR_POP_PLOT_STRATUM_ASSGN.zip,ZIP containing state-level FIADB CSV table,OR_POP_PLOT_STRATUM_ASSGN.zip,Plot-to-stratum/estimation-unit assignment and EVALID membership,YES,DIRECT_CROSSCHECK,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,Oregon,PLOT,https://apps.fs.usda.gov/fia/datamart/CSV/OR_PLOT.zip,ZIP containing state-level FIADB CSV table,OR_PLOT.zip,Plot identifiers and survey/inventory metadata needed by downstream bounded D09C,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
A_MEMBERSHIP_FIRST,Oregon,SURVEY,https://apps.fs.usda.gov/fia/datamart/CSV/OR_SURVEY.zip,ZIP containing state-level FIADB CSV table,OR_SURVEY.zip,Survey/inventory-year metadata,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
A_MEMBERSHIP_FIRST,Washington,POP_EVAL_GRP,https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_EVAL_GRP.zip,ZIP containing state-level FIADB CSV table,WA_POP_EVAL_GRP.zip,Evaluation-group record and group CN,YES,PRIMARY,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
A_MEMBERSHIP_FIRST,Washington,POP_EVAL_TYP,https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_EVAL_TYP.zip,ZIP containing state-level FIADB CSV table,WA_POP_EVAL_TYP.zip,Official group-to-evaluation membership bridge and evaluation type,YES,PRIMARY,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
A_MEMBERSHIP_FIRST,Washington,POP_EVAL,https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_EVAL.zip,ZIP containing state-level FIADB CSV table,WA_POP_EVAL.zip,Component evaluation records; contains EVALID and inventory-span metadata,YES,PRIMARY,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,Washington,POP_ESTN_UNIT,https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_ESTN_UNIT.zip,ZIP containing state-level FIADB CSV table,WA_POP_ESTN_UNIT.zip,Estimation-unit design metadata,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,Washington,POP_STRATUM,https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_STRATUM.zip,ZIP containing state-level FIADB CSV table,WA_POP_STRATUM.zip,Stratum design metadata,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,Washington,POP_PLOT_STRATUM_ASSGN,https://apps.fs.usda.gov/fia/datamart/CSV/WA_POP_PLOT_STRATUM_ASSGN.zip,ZIP containing state-level FIADB CSV table,WA_POP_PLOT_STRATUM_ASSGN.zip,Plot-to-stratum/estimation-unit assignment and EVALID membership,YES,DIRECT_CROSSCHECK,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
B_DESIGN_COMPLETION,Washington,PLOT,https://apps.fs.usda.gov/fia/datamart/CSV/WA_PLOT.zip,ZIP containing state-level FIADB CSV table,WA_PLOT.zip,Plot identifiers and survey/inventory metadata needed by downstream bounded D09C,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
A_MEMBERSHIP_FIRST,Washington,SURVEY,https://apps.fs.usda.gov/fia/datamart/CSV/WA_SURVEY.zip,ZIP containing state-level FIADB CSV table,WA_SURVEY.zip,Survey/inventory-year metadata,YES,SUPPORTING,UNKNOWN_UNTIL_HTTP_HEADERS_OR_GET,USER_DOWNLOAD_RECOMMENDED,"Capture Content-Length first. Table-level ZIP download is preferred; if unexpectedly large, STOP and ask mainline.",Save response body byte-for-byte; do not rezip/rewrite. Save response headers separately; compute SHA-256 on original ZIP.
